manufacturer,model_name,screen_size_inches,screen,cpu,ram_GB,storage,os,os_version,weight,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
Lenovo,IdeaPad 100S-14IBR,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Windows,10,1.42kg,"249,00",Intel,Intel,1366,768,1.6
Lenovo,Thinkpad Yoga,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.37kg,"1757,42",Intel,Intel,1920,1080,2.7
Dell,XPS 15,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,1TB SSD,Windows,10,2.06kg,"2399,00",Nvidia,Intel,3840,2160,2.8
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5kg,"1109,00",Nvidia,Intel,1920,1080,2.8
HP,17-AK091ND (A9-9420/8GB/1TB/W10),17.0,1600x900,AMD A9-Series 9420 3GHz,8,1TB HDD,Windows,10,2.6kg,"520,90",AMD,AMD,1600,900,3.0
Lenovo,ThinkPad X1,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Windows,10,1.14kg,"2450,00",Intel,Intel,1920,1080,2.7
Asus,ROG GL553VE-FY022,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,No OS,Version Unknown,2.5kg,"1169,00",Nvidia,Intel,1920,1080,2.8
Acer,Extensa EX2540,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,2.4kg,"450,00",Intel,Intel,1366,768,2.0
Lenovo,IdeaPad 100S-14IBR,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Windows,10,1.43kg,"274,00",Intel,Intel,1366,768,1.6
Acer,Swift 3,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.8kg,"919,00",Intel,Intel,1920,1080,2.5
Razer,Blade Pro,14.0,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Windows,10,1.95kg,"2599,00",Nvidia,Intel,1920,1080,2.8
Toshiba,Portege Z30-C-16J,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8,256GB SSD,Windows,10,1.2kg,"1213,00",Intel,Intel,1920,1080,2.3
Lenovo,Thinkpad X270,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.36kg,"1584,00",Intel,Intel,1920,1080,2.7
Asus,ROG G701VI,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32,512GB SSD,Windows,10,3.8kg,"2799,00",Nvidia,Intel,1920,1080,2.7
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Linux,Version Unknown,2.4kg,"709,00",Nvidia,Intel,1920,1080,2.5
Dell,XPS 13,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.2kg,"1449,90",Intel,Intel,1920,1080,1.6
Micro-Star International,GL62M 7REX,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.2kg,"1191,80",Nvidia,Intel,1920,1080,2.8
HP,250 G6,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,No OS,Version Unknown,1.86kg,"364,90",Intel,Intel,1366,768,2.0
Toshiba,Tecra A50-D-11M,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,500GB HDD,Windows,10,2.0kg,"1064,00",Intel,Intel,1920,1080,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.2kg,"919,00",AMD,Intel,1920,1080,1.8
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.2kg,"1135,00",AMD,Intel,1920,1080,1.8
Lenovo,IdeaPad Y700-15ISK,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8,128GB SSD +  1TB HDD,Windows,10,3.31kg,"1196,00",Nvidia,Intel,1920,1080,2.6
Dell,Alienware 17,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,512GB SSD +  1TB HDD,Windows,10,4.42kg,"3147,37",Nvidia,Intel,3840,2160,2.8
Dell,Latitude E7470,14.0,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Windows,10,1.56kg,"1229,00",Intel,Intel,1920,1080,2.4
Lenovo,Ideapad 320-15IAP,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,500GB HDD,Windows,10,2.2kg,"419,00",Intel,Intel,1366,768,1.1
Lenovo,IdeaPad 320-15ISK,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Windows,10,2.2kg,"535,00",Intel,Intel,1920,1080,2.3
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,15.6,1920x1080,Intel Core i3 6006U 2GHz,6,1TB HDD,Windows,10,2.04kg,"539,00",AMD,Intel,1920,1080,2.0
Micro-Star International,GP72VR Leopard,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.7kg,"1486,77",Nvidia,Intel,1920,1080,2.8
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i3 6100U 2.1GHz,4,128GB SSD,Windows,10,2.1kg,"498,00",Intel,Intel,1366,768,2.1
Dell,Latitude 3580,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.06kg,"955,00",Intel,Intel,1920,1080,2.5
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Windows,10,2.1kg,"745,00",AMD,Intel,1920,1080,2.7
Toshiba,Tecra Z50-D-10E,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2.0kg,"1258,00",Intel,Intel,1920,1080,2.5
Acer,Aspire 3,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Linux,Version Unknown,2.1kg,"412,00",Intel,Intel,1366,768,2.0
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Windows,10 S,1.252kg,"1867,85",Intel,Intel,2256,1504,2.8
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,1.90kg,"817,95",AMD,Intel,1920,1080,2.5
Lenovo,Yoga 720-13IKB,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.3kg,"1034,00",Intel,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15AST,15.6,1366x768,AMD E-Series E2-9000 2.2GHz,4,128GB SSD,Windows,10,2.2kg,"349,00",AMD,AMD,1366,768,2.2
HP,Pavilion X360,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Windows,10,1.63kg,"699,00",Nvidia,Intel,1920,1080,2.4
Micro-Star International,GP62 7RDX,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.4kg,"1294,00",Nvidia,Intel,1920,1080,2.8
Asus,Zenbook 3,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.1kg,"1135,00",Intel,Intel,1920,1080,2.5
HP,Chromebook X360,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8,64GB Flash Storage,Chrome OS,Version Unknown,1.4kg,"495,00",Intel,Intel,1366,768,1.1
LG,Gram 15Z975,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.09kg,"2299,00",Intel,Intel,1920,1080,1.8
Acer,Aspire VX5-591G,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16,256GB SSD,Windows,10,2.5kg,"1299,00",Nvidia,Intel,1920,1080,2.5
Micro-Star International,GV62M 7RD,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.2kg,"997,90",Nvidia,Intel,1920,1080,2.5
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,128GB SSD,Windows,10,1.86kg,"419,00",Intel,Intel,1366,768,1.1
Dell,Alienware 15,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16,128GB SSD +  1TB HDD,Windows,10,3.21kg,"2051,00",Nvidia,Intel,1920,1080,2.5
HP,17-bs000nv I3,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Windows,10,2.5kg,"699,00",AMD,Intel,1920,1080,2.0
Lenovo,Yoga 730,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.19kg,"1499,00",Intel,Intel,1920,1080,1.8
Dell,Alienware 15,15.6,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Windows,10,3.49kg,"2813,75",Nvidia,Intel,1920,1080,2.9
HP,250 G6,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Windows,10,1.86kg,"612,61",AMD,Intel,1366,768,2.5
Dell,Inspiron 3567,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.2kg,"545,67",AMD,Intel,1366,768,2.0
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6,2TB HDD,Windows,10,2.65kg,"569,00",AMD,AMD,1920,1080,2.4
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,500GB HDD,Windows,10,2.1kg,"318,00",Intel,Intel,1366,768,1.6
Acer,Chromebook 14,14.0,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,32GB Flash Storage,Chrome OS,Version Unknown,1.45kg,"375,00",Intel,Intel,1366,768,1.6
Lenovo,IdeaPad 520s-14IKB,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,1.7kg,"699,00",Intel,Intel,1920,1080,2.5
HP,ZBook 17,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,500GB HDD,Windows,10,3.14kg,"1907,99",Nvidia,Intel,1920,1080,2.8
Lenovo,ThinkPad X1,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.42kg,"2590,00",Intel,Intel,2560,1440,2.7
Toshiba,Satellite Pro,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.5kg,"973,00",Intel,Intel,1920,1080,2.5
Acer,TravelMate B117-M,11.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4,32GB Flash Storage,Windows,10,1.4kg,"269,00",Intel,Intel,1366,768,1.6
Lenovo,Yoga 910-13IKB,14.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Windows,10,1.38kg,"1749,00",Intel,Intel,1920,1080,2.7
Asus,Chromebook Flip,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4,64GB Flash Storage,Chrome OS,Version Unknown,1.2kg,"669,00",Intel,Intel,1920,1080,0.9
Toshiba,Portege Z30T-C-133,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Windows,10,1.36kg,"1877,00",Intel,Intel,1920,1080,2.5
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4,500GB HDD,Windows,10,2.1kg,"689,00",AMD,Intel,1920,1080,2.7
Dell,Inspiron 5577,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Windows,10,2.56kg,"819,00",Nvidia,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15AST,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4,256GB SSD,Windows,10,2.2kg,"399,00",AMD,AMD,1920,1080,2.9
Lenovo,IdeaPad 320-15ABR,15.6,1366x768,AMD A12-Series 9720P 3.6GHz,8,1TB HDD,Windows,10,2.2kg,"429,00",AMD,AMD,1366,768,3.6
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD +  1TB HDD,Windows,10,2.1kg,"621,45",Intel,Intel,1920,1080,2.5
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,No OS,Version Unknown,1.90kg,"450,00",Intel,Intel,1366,768,2.0
Dell,Vostro 5568,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2.18kg,"795,00",Intel,Intel,1920,1080,2.5
Acer,Spin 5,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.6kg,"999,00",Intel,Intel,1920,1080,1.6
Lenovo,ThinkPad P51s,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB SSD,Windows,7,2.18kg,"1855,00",Nvidia,Intel,1920,1080,2.5
Lenovo,Thinkpad T460p,14.0,Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8,256GB SSD,Windows,10,1.8kg,"1191,00",Intel,Intel,1920,1080,2.3
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6,2TB HDD,Windows,10,2.71kg,"655,01",AMD,AMD,1920,1080,2.5
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5kg,"1249,00",Nvidia,Intel,1920,1080,2.8
Dell,Latitude 5480,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Linux,Version Unknown,1.64kg,"1089,00",Nvidia,Intel,1920,1080,2.8
Dell,Vostro 5568,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Linux,Version Unknown,1.98kg,"726,00",Intel,Intel,1920,1080,2.5
Asus,VivoBook E403NA,14.0,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Windows,10,1.5kg,"298,00",Intel,Intel,1920,1080,1.1
Dell,Latitude 5580,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16,512GB SSD,Windows,10,1.93kg,"1426,66",Intel,Intel,1920,1080,2.6
Lenovo,Thinkpad E470,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.87kg,"857,07",Nvidia,Intel,1920,1080,2.5
Dell,Latitude 5580,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Windows,10,1.9kg,"1179,00",Intel,Intel,1920,1080,2.6
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),15.6,1366x768,AMD A6-Series 7310 2GHz,4,500GB HDD,Windows,10,2.19kg,"298,00",AMD,AMD,1366,768,2.0
Mediacom,Smartbook 142,14.0,IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92GHz,4,32GB HDD,Windows,10,1.4kg,"265,00",Intel,Intel,1920,1200,1.92
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2.63kg,"1200,00",Nvidia,Intel,1920,1080,2.7
Lenovo,ThinkPad X1,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8,512GB SSD,Windows,10,1.17kg,"1686,64",Intel,Intel,2560,1440,2.5
HP,Pavilion X360,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.58kg,"836,60",Intel,Intel,1366,768,2.5
Lenovo,ThinkPad T470s,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.32kg,"1499,00",Intel,Intel,1920,1080,2.5
Dell,Alienware 17,17.3,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1TB SSD +  1TB HDD,Windows,10,4.36kg,"3659,40",Nvidia,Intel,3840,2160,2.8
Micro-Star International,GL72M 7REX,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.7kg,"1348,48",Nvidia,Intel,1920,1080,2.8
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,No OS,Version Unknown,1.9kg,"489,90",Intel,Intel,1366,768,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.2kg,"719,00",AMD,Intel,1920,1080,1.6
Dell,Inspiron 5378,13.3,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Windows,10,1.71kg,"649,00",Intel,Intel,1920,1080,2.4
Dell,Inspiron 5567,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Linux,Version Unknown,2.32kg,"589,52",AMD,Intel,1366,768,2.5
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,1TB HDD,Windows,10,2.1kg,"489,00",AMD,AMD,1920,1080,3.0
Acer,Predator 17,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Windows,10,4.2kg,"1935,00",Nvidia,Intel,1920,1080,2.6
Dell,Inspiron 3567,15.6,1366x768,Intel Core i5 7200U 2.5GHz,12,1TB HDD,Windows,10,2.25kg,"649,00",Intel,Intel,1366,768,2.5
HP,15-BW091ND (A9-9420/6GB/1TB,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6,128GB SSD +  1TB HDD,Windows,10,2.1kg,"650,00",AMD,AMD,1920,1080,3.0
Acer,Extensa EX2540-58KR,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Windows,10,2.4kg,"559,00",Intel,Intel,1366,768,2.5
Lenovo,ThinkPad 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.44kg,"960,00",Intel,Intel,1920,1080,2.5
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4,1TB HDD,Windows,10,1.85kg,"779,00",Intel,Intel,1920,1080,2.7
HP,ZBook 15,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Windows,10,2.6kg,"2419,00",Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,1.55kg,"659,00",Intel,Intel,1920,1080,1.6
Micro-Star International,GS63VR 7RF,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,1.8kg,"2094,48",Nvidia,Intel,1920,1080,2.8
Acer,Aspire ES1-572,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,2.4kg,"410,80",Intel,Intel,1366,768,2.0
Dell,Inspiron 7560,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,Windows,10,2.0kg,"1207,00",Nvidia,Intel,1920,1080,2.7
Dell,Vostro 3568,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256GB SSD,Windows,10,2kg,"665,00",Intel,Intel,1366,768,2.0
Toshiba,Tecra X40-D-10G,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.25kg,"1535,00",Intel,Intel,1920,1080,2.5
Lenovo,Flex 5,14.0,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.7kg,"999,00",Intel,Intel,1920,1080,2.5
Lenovo,Thinkpad P51s,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16,1TB SSD,Windows,10,2.5kg,"3299,00",Nvidia,Intel,3840,2160,2.8
Acer,Chromebook 14,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Chrome OS,Version Unknown,1.68kg,"330,00",Intel,Intel,1366,768,1.6
Samsung,Notebook 9,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256GB SSD,Windows,10,0.81kg,"1649,00",Intel,Intel,1920,1080,2.7
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8,256GB SSD,Windows,10,1.86kg,"539,00",Intel,Intel,1920,1080,2.0
Dell,Latitude 5480,14.0,1366x768,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.6kg,"1126,71",Intel,Intel,1366,768,2.5
HP,Zbook 17,17.3,IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9GHz,16,256GB SSD,Windows,7,3kg,"4389,00",Nvidia,Intel,1920,1080,2.9
Lenovo,N23 (N3060/4GB/128GB/W10),11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,128GB SSD,Windows,10,1.4kg,"475,00",Intel,Intel,1366,768,1.6
HP,EliteBook 850,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Windows,10,1.84kg,"1900,00",Intel,Intel,1920,1080,2.4
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,15.6,1366x768,Intel Core i5 6300HQ 2.3GHz,4,1TB HDD,No OS,Version Unknown,2.45kg,"579,00",Nvidia,Intel,1366,768,2.3
Lenovo,Thinkpad T460,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4,1GB SSD,Windows,10,1.7kg,"1096,00",Intel,Intel,1920,1080,2.3
Asus,Pro P2540UA-XO0192R,15.6,1366x768,Intel Core i7 7500U 2.7GHz,4,256GB SSD,Windows,10,2.37kg,"849,90",Intel,Intel,1366,768,2.7
Lenovo,Yoga 900-13ISK,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i5 6260U 1.8GHz,8,256GB SSD,Windows,10,1.3kg,"1199,00",Intel,Intel,3200,1800,1.8
HP,15-cb003na (i5-7300HQ/8GB/1TB,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,2.2kg,"1099,00",Nvidia,Intel,1920,1080,2.5
HP,ZBook 15,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8,256GB SSD,Windows,7,2.59kg,"1561,00",Nvidia,Intel,1920,1080,2.6
Dell,Alienware 17,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,4.42kg,"2868,99",Nvidia,Intel,3840,2160,2.8
Acer,Aspire 3,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,2.1kg,"599,00",Intel,Intel,1366,768,2.5
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5kg,"1048,00",Nvidia,Intel,1920,1080,2.8
Dell,Latitude 7280,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Windows,10,1.18kg,"1859,00",Intel,Intel,1920,1080,2.8
Google,Pixelbook (Core,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8,256GB SSD,Chrome OS,Version Unknown,1.1kg,"1559,00",Intel,Intel,2400,1600,1.2
Asus,Zenbook UX330UA-AH5Q,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.2kg,"1129,00",Intel,Intel,3200,1800,2.5
Dell,Latitude 3380,13.3,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,1.65kg,"849,00",Intel,Intel,1366,768,2.0
Acer,TravelMate P238-M,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4,128GB SSD,Windows,10,1.6kg,"655,00",Intel,Intel,1366,768,2.3
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Windows,10,2.8kg,"470,34",Nvidia,Intel,1366,768,1.1
Dell,Inspiron 7559,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Windows,10,2.72kg,"1099,00",Nvidia,Intel,3840,2160,2.6
Samsung,Notebook 9,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.31kg,"1599,00",Intel,Intel,1920,1080,2.7
Acer,Aspire A315-31,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Linux,Version Unknown,2.1kg,"298,00",Intel,Intel,1366,768,1.1
Dell,Inspiron 5567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256GB SSD,Windows,10,2.3kg,"1181,27",AMD,Intel,1920,1080,2.7
Samsung,Notebook 9,15.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,256GB SSD,Windows,10,1.71kg,"1799,00",AMD,Intel,1920,1080,2.7
Toshiba,Tecra A40-C-1E5,14.0,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4,128GB SSD,Windows,10,1.75kg,"1020,00",Intel,Intel,1366,768,2.3
Dell,Inspiron 7567,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Windows,10,2.62kg,"1099,00",Nvidia,Intel,1920,1080,2.8
HP,EliteBook 820,12.5,1366x768,Intel Core i5 6200U 2.3GHz,4,256GB SSD,Windows,10,1.26kg,"1244,00",Intel,Intel,1366,768,2.3
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,2TB HDD,Windows,10,2.3kg,"839,00",Nvidia,Intel,1920,1080,2.7
